,Nama,Alamat,Lat,Lng,Rating,User Rating
27,Sumber Alfaria Trijaya. PT (Alfamart) dabag sleman,"Jl. Nologaten No.187, Dabag, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7716517,110.4015661,4.4,7
28,Alfamart,"Jl. Affandi Kel No.21 A, Santren, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.772177999999999,110.3896021,3.3,59
29,Alfamart,"Jl. Pringgondani Kel No.8, RT.19/RW.14, Mrican, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7752046,110.393494,3.3,30
30,Alfamart,"Gg. Jemb. Merah Kel No.103 A, RT.04/RW.06, Soropadan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.763571199999999,110.3950698,4.3,72
31,Alfamart Jambon Sleman,"Jl. Jambon Jl. Kragilan No.103, Kragilan, Kricak, Kec. Tegalrejo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55242, Indonesia",-7.7669713,110.3533651,4.1,28
32,Alfamart,"Jl. Manukan, Ds. Manukan Rt. 05 Rw. Iv Kel, Manukan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.744483599999999,110.4018264,3.9,53
33,Alfamart,"Jl. Damai Dk. Prujakan, RT.01/RW.32, Tambakan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581, Indonesia",-7.734255800000001,110.3916451,4.2,25
34,Alfamart,"Jl. Anggajaya 2 Kel No.75B, RT.04/RW.09, Sanggrahan, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.7550043,110.3990665,3.5,85
35,Alfamart Tlogoadi,"787V+XHW, Area Sawah, Tlogoadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55286, Indonesia",-7.7350334,110.3439674,3.9,93
36,Alfamart Ampel Gading,"Jl. Ring Road Utara No.Kel, Perumnas Condong Catur, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.759719,110.4059858,3.6,36
37,Alfamart,"Jl. Magelang Km 13.8, Dusun Jl. Murangan VII No.Kel, RT.15/RW.32, Panggeran 8, Triharjo, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55514, Indonesia",-7.6865389,110.3414803,4.0,54
38,Alfamart,"Jl. Laksda Adisucipto Kel No.103, Ambarukmo, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",-7.7834255,110.4003252,3.3,30
39,Alfamart,"Jl. Kebun Agung Rt. 04 Rw. 34, Dsn, Bedingin, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288, Indonesia",-7.731534,110.3210778,4.2,343
40,Alfamart Sambipitu,"4GFP+9MR, Jl. Jogja - Wonosari No.Km. 27, Sama, Bunder, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862, Indonesia",-7.876752999999999,110.5379902,4.2,156
41,Alfamart Karang Duwet,"Jl. Raya Paliyan, Pendem, Karangduwet, Kec. Paliyan, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55871, Indonesia",-7.9996938,110.514226,4.3,426
42,Alfamart,"Jl. Ngawen No.Rt 01, RW.15, Kepil, Semin, Kec. Ngawen, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55853, Indonesia",-7.846724399999998,110.7061885,4.1,40
43,Alfamart Patuk,"Jl. Pleret-Patuk, RT.02/RW.01, Patuk, Kec. Patuk, Kabupaten Gunung Kidul, Daerah Istimewa Yogyakarta 55862, Indonesia",-7.8486646,110.482011,3.6,24
